Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0805_2012Metric",108.500000,-111.800000,180.000000,bottom
"C2","100nF","C_0805_2012Metric",105.300000,-111.000000,90.000000,bottom
"C3","4.7uF","C_0805_2012Metric",121.000000,-121.000000,180.000000,bottom
"C4","100nF","C_0805_2012Metric",108.300000,-114.700000,180.000000,bottom
"C5","100nF","C_0805_2012Metric",117.200000,-113.300000,90.000000,bottom
"J1","USB-C USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",112.500000,-121.150000,180.000000,bottom
"R1","5.1k","R_0805_2012Metric",120.200000,-117.400000,180.000000,bottom
"R2","5.1k","R_0805_2012Metric",105.100000,-117.400000,180.000000,bottom
"R3","330","R_0805_2012Metric",120.700000,-105.500000,180.000000,bottom
"R4","100k","R_0805_2012Metric",120.700000,-108.500000,180.000000,bottom
"R6","10k","R_0805_2012Metric",120.700000,-111.500000,180.000000,bottom
"R7","10k","R_0805_2012Metric",103.500000,-107.800000,180.000000,bottom
"U1","CH552G","SOIC-16_3.9x9.9mm_P1.27mm",112.500000,-106.800000,-90.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",112.500000,-114.100000,-90.000000,bottom
"D1","WS2812B-V5","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",112.500000,-112.500000,180.000000,top
