Ref,Val,Package,PosX,PosY,Rot,Side
"C4","100nF","C_0805_2012Metric",108.700000,-114.700000,180.000000,bottom
"U2","USBLC6-2SC6","SOT-23-6",112.500000,-114.700000,-90.000000,bottom
"C1","100nF","C_0805_2012Metric",120.700000,-111.100000,0.000000,top
"C2","100nF","C_0805_2012Metric",120.700000,-108.000000,0.000000,top
"C3","1uF","C_0805_2012Metric",121.000000,-121.000000,0.000000,top
"D1","WP154A4SUREQBFZGC","LED_D5.0mm-4_RGB_Wide_Pins",109.261500,-103.500000,0.000000,top
"J1","USB-C USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",112.500000,-121.150000,0.000000,top
"R1","5.1k","R_0805_2012Metric",105.100000,-117.400000,0.000000,top
"R2","5.1k","R_0805_2012Metric",120.200000,-117.400000,0.000000,top
"R3","1k","R_0805_2012Metric",103.000000,-108.400000,0.000000,top
"R4","1k","R_0805_2012Metric",103.000000,-111.500000,0.000000,top
"R5","1k","R_0805_2012Metric",103.000000,-114.600000,0.000000,top
"R6","10k","R_0805_2012Metric",120.700000,-114.400000,0.000000,top
"R7","10k","R_0805_2012Metric",106.500000,-105.400000,0.000000,top
"U1","CH552G","SOIC-16_3.9x9.9mm_P1.27mm",112.500000,-110.700000,-90.000000,top
